ticker,quantity,entry_price,target_price,stop_loss,notes,added_at
GILD,0.0,,,,,2026-07-12T20:24:08.187427+00:00
GLD,0.0,,,,,2026-07-12T20:24:08.187427+00:00
GLEN.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
GOOG,0.0,,,,,2026-07-12T20:24:08.187427+00:00
GOOGL,0.0,,,,,2026-07-12T20:24:08.187427+00:00
GREK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
GS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
GSK.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
HD,0.0,,,,,2026-07-12T20:24:08.187427+00:00
HDB,0.0,,,,,2026-07-12T20:24:08.187427+00:00
HON,0.0,,,,,2026-07-12T20:24:08.187427+00:00
HSBA.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
HYG,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IBB,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IBE.MC,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IBM,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IBN,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IEF,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IFX.DE,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IGV,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IHG.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
III.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IJH,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IJR,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IMB.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
INDA,0.0,,,,,2026-07-12T20:24:08.187427+00:00
INFY,0.0,,,,,2026-07-12T20:24:08.187427+00:00
INTU,0.0,,,,,2026-07-12T20:24:08.187427+00:00
ISP.MI,0.0,,,,,2026-07-12T20:24:08.187427+00:00
ISRG,0.0,,,,,2026-07-12T20:24:08.187427+00:00
ITUB,0.0,,,,,2026-07-12T20:24:08.187427+00:00
ITX.MC,0.0,,,,,2026-07-12T20:24:08.187427+00:00
IWM,0.0,,,,,2026-07-12T20:24:08.187427+00:00
JNJ,0.0,,,,,2026-07-12T20:24:08.187427+00:00
JPM,0.0,,,,,2026-07-12T20:24:08.187427+00:00
KER.PA,0.0,,,,,2026-07-12T20:24:08.187427+00:00
KLAC,0.0,,,,,2026-07-12T20:24:08.187427+00:00
KO,0.0,,,,,2026-07-12T20:24:08.187427+00:00
LIN,0.0,,,,,2026-07-12T20:24:08.187427+00:00
LLOY.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
LLY,0.0,,,,,2026-07-12T20:24:08.187427+00:00
LOW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
LQD,0.0,,,,,2026-07-12T20:24:08.187427+00:00
LRCX,0.0,,,,,2026-07-12T20:24:08.187427+00:00
LSEG.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MA,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MBG.DE,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MC.PA,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MCD,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MCHI,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MDLZ,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MDY,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MELI,0.0,,,,,2026-07-12T20:24:08.187427+00:00
META,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MFC.TO,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MQG.AX,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MRK,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MS,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MSFT,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MU,0.0,,,,,2026-07-12T20:24:08.187427+00:00
MUV2.DE,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NAB.AX,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NESN.SW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NFLX,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NG.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NOVN.SW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NOVO-B.CO,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NOW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NTR.TO,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NU,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NVDA,0.0,,,,,2026-07-12T20:24:08.187427+00:00
NWG.L,0.0,,,,,2026-07-12T20:24:08.187427+00:00
OR.PA,0.0,,,,,2026-07-12T20:24:08.187427+00:00
ORCL,0.0,,,,,2026-07-12T20:24:08.187427+00:00
PANW,0.0,,,,,2026-07-12T20:24:08.187427+00:00
PBR,0.0,,,,,2026-07-12T20:24:08.187427+00:00
PEP,0.0,,,,,2026-07-12T20:24:08.187427+00:00
PG,0.0,,,,,2026-07-12T20:24:08.187427+00:00
