ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w,entry_price,target_price,stop_loss,risk_pct,reward_pct,risk_reward,position_quality,plan_reason
EPU,WATCH,71,71,NEUTRAL,40,0,86.33,-0.59,2.62,9.89,53.4,0.2,1.99,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,85.43,84.77,78.84,93.84,86.33,89.5,84.15,2.53,3.67,1.45,C,WATCH score 71; ATR-based plan; R/R 1.45
EWI,WATCH,71,71,NEUTRAL,40,0,61.49,-0.27,1.43,6.36,57.2,0.57,1.0,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,60.57,59.85,55.93,61.66,61.49,62.77,60.37,1.83,2.09,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
EWP,WATCH,71,71,NEUTRAL,40,0,61.37,-0.11,2.87,9.16,63.2,0.62,1.31,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,59.71,58.72,55.22,61.44,61.37,62.86,60.06,2.13,2.43,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
MQG.AX,WATCH,71,71,NEUTRAL,40,0,253.09,1.24,0.57,4.64,48.4,1.55,0.92,MIXED,24,17,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,254.52,248.04,221.57,258.41,253.09,260.74,250.7,0.94,3.02,3.21,C,WATCH score 71; ATR-based plan; R/R 3.21
MRK,WATCH,71,71,NEUTRAL,40,0,130.95,0.89,1.07,15.73,64.1,0.28,1.7,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,127.36,122.87,111.59,131.82,130.95,136.37,126.21,3.62,4.14,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
RSP,WATCH,71,71,NEUTRAL,40,0,215.24,-0.07,0.15,5.9,53.3,0.72,0.62,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,214.07,211.39,199.65,217.69,215.24,218.66,212.25,1.39,1.59,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
SLF.TO,WATCH,71,71,NEUTRAL,40,0,116.97,0.83,3.51,17.52,70.7,0.19,1.14,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,114.47,109.28,93.43,118.69,116.97,119.73,114.55,2.07,2.36,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
V,WATCH,71,71,NEUTRAL,40,0,365.39,-0.24,0.9,13.46,57.5,0.39,1.32,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,357.67,340.43,330.3,368.73,365.39,378.23,354.16,3.07,3.51,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
XLF,WATCH,71,71,NEUTRAL,40,0,57.06,0.1,2.58,10.59,60.2,0.41,0.85,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,56.29,54.19,52.84,57.6,57.06,58.17,56.09,1.7,1.95,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
ARGT,WATCH,70,70,NEUTRAL,40,0,95.68,-0.49,4.63,5.91,53.6,0.69,1.69,RECOVERING,26,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,93.92,93.98,91.35,102.94,95.68,98.87,92.89,2.91,3.33,1.14,LOW,WATCH score 70; ATR-based plan; R/R 1.14
MUV2.DE,WATCH,70,70,NEUTRAL,40,0,522.2,-0.11,5.2,4.02,60.6,1.02,1.15,TREND,28,22,7,13,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,511.27,484.66,521.32,607.8,522.2,537.78,508.57,2.61,2.98,1.14,LOW,WATCH score 70; ATR-based plan; R/R 1.14
SHEL.L,WATCH,70,70,NEUTRAL,40,0,3383.5,1.94,17.02,7.86,74.1,0.9,1.45,TREND,32,21,3,18,0,-4,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,3190.85,3126.25,3019.94,3583.0,3383.5,3549.79,3238.0,4.3,4.91,1.14,LOW,WATCH score 70; ATR-based plan; R/R 1.14
SREN.SW,WATCH,70,70,NEUTRAL,40,0,134.85,0.26,3.97,5.02,50.6,0.92,1.32,TREND,28,26,3,13,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,134.07,126.86,131.41,154.65,134.85,139.44,132.06,2.07,3.4,1.64,C,WATCH score 70; ATR-based plan; R/R 1.64
ZURN.SW,WATCH,70,70,NEUTRAL,40,0,615.8,0.16,1.35,11.88,48.0,1.05,0.73,MIXED,24,21,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,616.34,589.84,570.25,624.4,615.8,629.22,607.09,1.41,2.18,1.54,C,WATCH score 70; ATR-based plan; R/R 1.54
ITX.MC,WATCH,69,69,NEUTRAL,40,0,56.44,-1.81,-1.33,9.98,58.4,1.14,1.7,TREND,32,16,7,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,55.03,54.96,53.2,57.92,56.44,58.57,54.57,3.31,3.78,1.14,LOW,WATCH score 69; ATR-based plan; R/R 1.14
NAB.AX,WATCH,69,69,NEUTRAL,40,0,41.33,-0.53,7.16,4.61,64.3,1.46,0.89,TREND,22,22,12,13,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,39.98,38.47,41.68,49.1,41.33,42.37,40.42,2.21,2.52,1.14,LOW,WATCH score 69; ATR-based plan; R/R 1.14
RR.L,WATCH,69,69,NEUTRAL,40,0,1467.8,0.33,-2.42,14.69,58.3,1.1,2.39,TREND,32,16,7,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,1411.0,1372.29,1238.47,1504.2,1467.8,1552.51,1393.68,5.05,5.77,1.14,LOW,WATCH score 69; ATR-based plan; R/R 1.14
SAN.MC,WATCH,69,69,NEUTRAL,40,0,12.32,0.57,-0.81,17.7,56.5,1.04,2.03,TREND,32,16,7,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,12.05,11.61,10.34,12.51,12.32,12.85,11.87,3.66,4.27,1.17,LOW,WATCH score 69; ATR-based plan; R/R 1.17
BLK,WATCH,68,68,NEUTRAL,40,0,1093.54,-0.44,9.82,4.25,61.5,0.15,2.2,TREND,28,22,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,1052.45,1033.4,1054.32,1202.59,1093.54,1143.58,1049.75,4.0,4.58,1.14,LOW,WATCH score 68; ATR-based plan; R/R 1.14
SIE.DE,WATCH,68,68,NEUTRAL,40,0,282.65,0.55,-0.51,6.68,64.0,1.27,1.76,MIXED,26,16,12,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,272.03,272.03,248.31,284.1,282.65,292.91,273.67,3.18,3.63,1.14,LOW,WATCH score 68; ATR-based plan; R/R 1.14
CBA.AX,WATCH,67,67,NEUTRAL,40,0,177.53,-0.4,7.58,-0.95,72.5,1.31,0.74,TREND,32,13,12,14,0,-4,strong trend; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,171.99,166.44,166.08,183.52,177.53,182.01,173.61,2.21,2.52,1.14,LOW,WATCH score 67; ATR-based plan; R/R 1.14
MFC.TO,WATCH,67,67,NEUTRAL,40,0,62.92,0.83,6.95,15.49,74.5,0.26,1.11,TREND,32,21,0,18,0,-4,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,60.38,57.43,51.52,62.95,62.92,64.49,61.55,2.18,2.49,1.14,LOW,WATCH score 67; ATR-based plan; R/R 1.14
RTX,WATCH,67,67,NEUTRAL,40,0,214.85,0.22,7.83,24.28,73.6,0.22,2.04,TREND,32,21,0,18,0,-4,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,202.41,190.44,187.85,218.58,214.85,224.5,206.4,3.93,4.49,1.14,LOW,WATCH score 67; ATR-based plan; R/R 1.14
TMO,WATCH,67,67,NEUTRAL,40,0,570.93,-1.01,9.07,22.32,67.8,0.41,2.35,TREND,28,26,0,13,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,542.32,504.74,530.7,639.45,570.93,600.86,544.74,4.59,5.24,1.14,LOW,WATCH score 67; ATR-based plan; R/R 1.14
XLP,WATCH,67,67,NEUTRAL,40,0,85.29,-0.2,0.36,1.47,52.7,0.58,1.28,TREND,32,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,84.72,84.26,82.36,90.01,85.29,87.94,83.45,2.16,3.11,1.44,C,WATCH score 67; ATR-based plan; R/R 1.44
XLRE,WATCH,67,67,NEUTRAL,40,0,45.15,-0.34,1.04,2.21,55.5,0.67,0.98,TREND,32,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,45.06,44.69,42.67,46.01,45.15,46.17,44.38,1.7,2.25,1.33,C,WATCH score 67; ATR-based plan; R/R 1.33
0005.HK,WATCH,66,66,NEUTRAL,40,0,164.5,-0.12,10.03,14.71,80.2,1.53,0.89,TREND,32,12,12,18,0,-8,strong trend; volume support; relative strength; overextended,SPY NEUTRAL 58; QQQ BEARISH 26,157.03,149.84,130.94,164.7,164.5,168.85,160.69,2.32,2.65,1.14,LOW,WATCH score 66; ATR-based plan; R/R 1.14
7267.T,WATCH,66,66,NEUTRAL,40,0,1670.0,-1.1,13.41,32.28,75.5,1.25,2.14,TREND,28,12,12,18,0,-4,strong trend; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,1557.75,1481.96,1483.39,1702.5,1670.0,1735.71,1612.5,3.44,3.93,1.14,LOW,WATCH score 66; ATR-based plan; R/R 1.14
9432.T,WATCH,66,66,NEUTRAL,40,0,159.0,-0.81,11.34,4.61,74.5,1.02,1.04,TREND,28,17,7,18,0,-4,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,150.97,148.84,153.35,165.5,159.0,163.1,155.41,2.26,2.58,1.14,LOW,WATCH score 66; ATR-based plan; R/R 1.14
9433.T,WATCH,66,66,NEUTRAL,40,0,3051.0,-1.83,14.92,19.74,78.7,1.52,1.25,TREND,32,12,12,18,0,-8,strong trend; volume support; relative strength; overextended,SPY NEUTRAL 58; QQQ BEARISH 26,2860.5,2762.88,2660.43,3108.0,3051.0,3153.69,2961.15,2.94,3.37,1.14,LOW,WATCH score 66; ATR-based plan; R/R 1.14
SGE.L,WATCH,66,66,NEUTRAL,40,0,973.2,0.6,16.69,9.18,68.8,1.46,3.16,TREND,28,21,12,13,-4,-4,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,869.88,851.0,938.74,1198.5,973.2,1030.63,922.95,5.16,5.9,1.14,LOW,WATCH score 66; ATR-based plan; R/R 1.14
SU.TO,WATCH,66,66,NEUTRAL,40,0,93.87,0.36,20.18,6.78,71.3,0.38,1.78,TREND,32,16,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,87.77,85.43,76.29,95.81,93.87,97.4,90.78,3.29,3.76,1.14,LOW,WATCH score 66; ATR-based plan; R/R 1.14
6501.T,WATCH,65,65,NEUTRAL,40,0,5255.0,6.01,16.88,9.59,72.2,2.01,2.42,RECOVERING,22,21,12,18,0,-8,strong trend; healthy momentum; volume support; relative strength; overextended,SPY NEUTRAL 58; QQQ BEARISH 26,4827.7,4851.98,4920.95,5818.0,5255.0,5491.57,5048.0,3.94,4.5,1.14,LOW,WATCH score 65; ATR-based plan; R/R 1.14
BAS.DE,WATCH,65,65,NEUTRAL,40,0,50.4,-1.64,5.48,-2.42,58.9,1.08,1.52,RECOVERING,26,18,7,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,48.64,49.02,47.84,54.74,50.4,52.31,48.73,3.31,3.79,1.14,LOW,WATCH score 65; ATR-based plan; R/R 1.14
BP.L,WATCH,65,65,NEUTRAL,40,0,552.5,1.77,18.27,2.79,68.7,0.96,2.01,TREND,32,12,3,18,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,517.42,513.39,494.43,606.3,552.5,575.08,532.74,3.58,4.09,1.14,LOW,WATCH score 65; ATR-based plan; R/R 1.14
