ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w,entry_price,target_price,stop_loss,risk_pct,reward_pct,risk_reward,position_quality,plan_reason
6098.T,WATCH,58,63,DEFENSIVE,30,-5,12055.0,-2.43,7.25,64.96,52.3,1.02,2.05,MIXED,24,14,7,18,0,0,strong trend; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,12126.25,11125.76,8547.01,12920.0,12055.0,12675.57,11944.36,0.92,5.15,5.61,C,WATCH score 58; ATR-based plan; R/R 5.61
8001.T,WATCH,58,63,DEFENSIVE,30,-5,1957.5,-0.68,7.91,0.9,64.2,0.77,0.99,TREND,28,22,0,13,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1899.65,1894.96,1938.45,2270.0,1957.5,2015.9,1906.4,2.61,2.98,1.14,LOW,WATCH score 58; ATR-based plan; R/R 1.14
EWI,WATCH,58,63,DEFENSIVE,30,-5,59.72,-2.19,1.48,4.44,42.1,1.54,0.95,MIXED,24,9,12,18,0,0,strong trend; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,60.11,59.56,55.65,61.14,59.72,60.82,59.21,0.86,1.84,2.14,C,WATCH score 58; ATR-based plan; R/R 2.14
EWP,WATCH,58,63,DEFENSIVE,30,-5,59.02,-1.85,1.13,5.51,45.7,0.54,0.96,MIXED,24,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,59.29,58.2,54.87,60.28,59.02,60.32,58.4,1.05,2.2,2.1,C,WATCH score 58; ATR-based plan; R/R 2.10
FMX,WATCH,58,63,DEFENSIVE,30,-5,127.08,-2.93,3.25,12.42,44.9,0.87,1.73,MIXED,24,18,3,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,129.04,125.54,110.18,133.17,127.08,131.92,122.85,3.33,3.81,1.14,LOW,WATCH score 58; ATR-based plan; R/R 1.14
RR.L,WATCH,58,63,DEFENSIVE,30,-5,1415.6,4.16,0.67,28.85,37.3,1.66,1.99,MIXED,24,9,12,18,0,0,strong trend; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1418.82,1347.32,1231.24,1504.2,1415.6,1492.79,1397.54,1.28,5.45,4.27,C,WATCH score 58; ATR-based plan; R/R 4.27
TRP.TO,WATCH,57,62,DEFENSIVE,30,-5,98.46,0.13,-0.21,14.24,65.2,0.78,1.35,TREND,32,16,0,14,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,96.82,96.06,84.12,99.6,98.46,101.56,95.75,2.76,3.15,1.14,LOW,WATCH score 57; ATR-based plan; R/R 1.14
WFC,WATCH,57,62,DEFENSIVE,30,-5,86.19,-0.27,2.24,6.99,52.2,0.67,1.65,TREND,28,21,0,13,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,86.16,82.01,84.62,96.39,86.19,89.76,84.87,1.53,4.14,2.7,C,WATCH score 57; ATR-based plan; R/R 2.70
6902.T,WATCH,56,61,DEFENSIVE,30,-5,1977.0,-0.8,6.26,5.84,54.7,0.74,1.17,TREND,22,26,0,13,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1944.65,1906.82,2042.05,2315.0,1977.0,2030.14,1930.5,2.35,2.69,1.14,LOW,WATCH score 56; ATR-based plan; R/R 1.14
GS,WATCH,56,61,DEFENSIVE,30,-5,1074.72,-2.14,-0.2,14.6,57.3,0.9,3.0,TREND,32,16,3,14,-4,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1060.41,1039.93,909.12,1152.07,1074.72,1136.25,1044.5,2.81,5.73,2.04,C,WATCH score 56; ATR-based plan; R/R 2.04
MUV2.DE,WATCH,56,61,DEFENSIVE,30,-5,509.0,0.55,6.55,-0.35,60.0,1.96,1.12,TREND,22,18,12,9,0,0,strong trend; healthy momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,503.43,480.26,522.42,607.8,509.0,524.93,495.88,2.58,3.13,1.21,C,WATCH score 56; ATR-based plan; R/R 1.21
SBUX,WATCH,56,61,DEFENSIVE,30,-5,103.21,-0.74,-0.31,5.43,47.2,1.0,1.49,MIXED,24,16,7,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,104.63,102.61,94.17,108.37,103.21,107.97,103.06,0.14,4.61,31.83,C,WATCH score 56; ATR-based plan; R/R 31.83
AAL.L,WATCH,55,60,DEFENSIVE,30,-5,3721.0,2.51,0.08,5.86,47.8,1.58,2.94,RECOVERING,18,21,12,13,-4,0,developing trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,3597.75,3775.76,3361.5,4225.0,3721.0,3964.54,3543.78,4.76,6.55,1.37,C,WATCH score 55; ATR-based plan; R/R 1.37
GILD,WATCH,55,60,DEFENSIVE,30,-5,130.86,0.4,4.55,2.43,49.3,0.84,2.26,TREND,22,22,3,13,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,130.82,129.77,131.33,155.8,130.86,137.47,128.86,1.53,5.05,3.3,C,WATCH score 55; ATR-based plan; R/R 3.30
LLY,WATCH,55,60,DEFENSIVE,30,-5,1185.87,1.97,6.14,36.58,44.5,0.67,2.38,MIXED,24,18,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,1186.92,1125.3,1014.37,1235.56,1185.87,1245.25,1169.12,1.41,5.01,3.54,C,WATCH score 55; ATR-based plan; R/R 3.54
NAB.AX,WATCH,55,60,DEFENSIVE,30,-5,40.39,1.46,7.68,1.28,67.1,0.99,1.31,TREND,22,22,3,13,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,39.16,38.03,41.73,49.1,40.39,41.46,39.45,2.32,2.65,1.14,LOW,WATCH score 55; ATR-based plan; R/R 1.14
V,WATCH,55,60,DEFENSIVE,30,-5,351.6,-0.51,5.83,13.55,40.4,0.49,1.55,MIXED,24,18,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,351.64,335.88,329.81,365.14,351.6,364.38,346.37,1.49,3.63,2.44,C,WATCH score 55; ATR-based plan; R/R 2.44
