ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
USO,IGNORE,26,31,DEFENSIVE,30,-5,139.49,5.93,31.24,3.54,88.0,1.92,3.0,RECOVERING,26,3,12,18,-4,-24,strong trend; volume support; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,115.34,125.54,98.53,152.96
9618.HK,IGNORE,25,30,DEFENSIVE,30,-5,119.7,1.35,24.69,3.82,79.8,0.19,1.68,RECOVERING,22,3,0,13,0,-8,strong trend; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,111.72,113.4,115.58,142.8
EWL,IGNORE,25,30,DEFENSIVE,30,-5,61.87,-0.8,-0.51,1.33,30.0,0.7,0.95,MIXED,16,0,0,14,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,62.86,62.29,60.29,65.08
MBG.DE,IGNORE,25,30,DEFENSIVE,30,-5,44.78,1.03,3.32,-9.7,45.8,0.79,1.52,RECOVERING,8,18,0,4,0,0,healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,44.76,47.01,53.78,61.93
MCHI,IGNORE,25,30,DEFENSIVE,30,-5,53.35,-0.41,3.73,-6.6,65.1,0.45,1.26,RECOVERING,8,18,0,4,0,0,healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,52.52,54.14,59.04,66.99
PBR,IGNORE,25,30,DEFENSIVE,30,-5,19.0,0.58,15.5,-9.35,84.3,0.9,1.62,RECOVERING,26,4,3,9,0,-12,strong trend; overextended,SPY BEARISH 36; QQQ BEARISH 26,17.28,18.05,16.06,22.03
1211.HK,IGNORE,24,29,DEFENSIVE,30,-5,89.05,0.45,22.57,-14.13,62.2,0.22,3.01,RECOVERING,16,13,0,4,-4,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,84.96,86.56,96.96,128.3
9983.T,IGNORE,24,29,DEFENSIVE,30,-5,77560.0,1.76,-7.74,7.92,24.0,0.58,1.83,MIXED,16,4,0,9,0,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,81687.5,80164.2,65999.15,87900.0
ACN,IGNORE,24,29,DEFENSIVE,30,-5,138.74,-0.96,7.43,-21.6,51.7,1.04,2.95,RECOVERING,8,18,7,0,-4,0,healthy momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,136.29,155.34,213.62,288.54
EWH,IGNORE,24,29,DEFENSIVE,30,-5,22.44,-0.44,6.1,-3.81,80.1,0.96,0.86,RECOVERING,16,4,3,14,0,-8,developing trend; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,21.54,22.23,22.53,24.55
EWT,IGNORE,24,29,DEFENSIVE,30,-5,99.84,-1.81,-4.66,14.3,41.9,0.55,2.55,MIXED,16,8,0,9,-4,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,102.94,101.69,78.26,111.53
IHG.L,IGNORE,24,29,DEFENSIVE,30,-5,156.6,2.12,-8.71,10.17,35.8,0.62,1.45,MIXED,16,-1,0,14,0,0,developing trend; weak momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,162.45,161.79,142.27,172.75
DTE.DE,IGNORE,23,28,DEFENSIVE,30,-5,26.39,1.0,0.53,-4.28,59.3,0.94,2.36,RECOVERING,8,13,3,4,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,25.93,27.18,28.65,34.09
MU,IGNORE,23,28,DEFENSIVE,30,-5,990.21,3.2,-5.56,88.77,51.4,0.82,6.43,MIXED,24,4,3,9,-12,0,strong trend; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,990.43,952.3,498.41,1213.56
RACE.MI,IGNORE,23,28,DEFENSIVE,30,-5,318.15,0.86,-1.24,8.45,32.2,0.66,1.56,MIXED,20,4,0,4,0,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,328.24,312.85,313.44,440.9
SPGI,IGNORE,23,28,DEFENSIVE,30,-5,420.0,-2.11,10.34,1.54,39.3,0.73,2.82,MIXED,14,10,0,8,-4,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,426.48,406.84,435.8,533.73
VEA,IGNORE,23,28,DEFENSIVE,30,-5,69.78,-1.01,-0.71,2.51,44.4,0.79,1.05,MIXED,10,4,0,14,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,70.53,70.75,66.05,72.39
3690.HK,IGNORE,22,27,DEFENSIVE,30,-5,90.5,4.38,40.86,12.7,69.0,0.7,2.94,TREND,28,11,0,8,-4,-16,strong trend; overextended,SPY BEARISH 36; QQQ BEARISH 26,80.05,78.3,89.43,129.4
LIN,IGNORE,20,25,DEFENSIVE,30,-5,506.32,-0.46,-1.82,-0.87,20.9,0.85,1.4,MIXED,16,-4,3,10,0,0,developing trend; weak momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,522.03,514.96,472.82,546.64
AMAT,IGNORE,19,24,DEFENSIVE,30,-5,562.8,1.6,-4.44,39.01,42.6,0.51,6.14,MIXED,24,8,0,4,-12,0,strong trend; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,596.17,535.38,365.1,723.0
EWK,IGNORE,19,24,DEFENSIVE,30,-5,26.57,-0.41,-0.26,4.16,34.7,0.3,0.85,MIXED,10,0,0,14,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,26.62,26.72,25.38,27.68
META,IGNORE,19,24,DEFENSIVE,30,-5,606.1,-3.36,8.68,-10.69,55.2,0.79,3.51,WEAK,6,18,0,4,-4,0,healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,618.35,606.23,638.67,790.0
ANTO.L,IGNORE,18,23,DEFENSIVE,30,-5,3631.0,0.28,-5.07,5.61,41.4,0.59,3.25,MIXED,10,8,0,9,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,3718.9,3882.0,3493.8,4455.0
CPG.L,IGNORE,18,23,DEFENSIVE,30,-5,30.29,-0.56,-7.48,6.32,36.8,0.77,1.63,MIXED,10,4,0,9,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,31.77,32.1,26.32,34.18
EIS,IGNORE,18,23,DEFENSIVE,30,-5,119.29,-0.33,-0.92,-6.08,47.1,0.38,1.39,MIXED,10,8,0,5,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,119.99,125.5,117.74,137.69
EWD,IGNORE,18,23,DEFENSIVE,30,-5,49.7,-1.15,1.8,-4.46,43.5,0.54,0.99,WEAK,4,5,0,14,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,50.0,50.7,50.29,54.72
FRDM,IGNORE,18,23,DEFENSIVE,30,-5,66.34,-1.19,-7.49,5.47,44.4,0.44,2.54,MIXED,10,8,0,9,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,68.63,69.76,58.21,76.19
XLB,IGNORE,18,23,DEFENSIVE,30,-5,50.29,-1.04,-1.7,-2.88,34.8,1.01,1.13,MIXED,10,-4,7,10,0,0,weak momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,50.86,51.0,48.73,53.62
ADI,IGNORE,17,22,DEFENSIVE,30,-5,380.2,-1.69,-7.98,-3.16,51.6,0.85,2.56,MIXED,10,8,3,5,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,387.51,404.23,327.31,445.48
INTU,IGNORE,17,22,DEFENSIVE,30,-5,281.53,-1.03,7.36,-27.8,53.7,0.53,2.77,RECOVERING,8,18,0,0,-4,0,healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,277.69,301.1,477.24,807.39
MC.PA,IGNORE,17,22,DEFENSIVE,30,-5,461.7,1.8,-6.87,2.28,37.0,1.36,1.88,WEAK,6,0,12,4,0,0,volume support,SPY BEARISH 36; QQQ BEARISH 26,486.46,485.48,538.62,652.1
GLD,IGNORE,16,21,DEFENSIVE,30,-5,371.52,-2.0,1.53,-13.58,44.7,1.49,1.37,WEAK,0,5,12,4,0,0,volume support,SPY BEARISH 36; QQQ BEARISH 26,372.8,391.33,411.76,495.9
QCOM,IGNORE,16,21,DEFENSIVE,30,-5,171.11,-2.57,-13.32,13.88,45.3,0.66,3.04,MIXED,10,11,0,4,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,181.76,203.9,169.15,251.02
CAT,IGNORE,15,20,DEFENSIVE,30,-5,894.54,0.59,-10.05,7.93,32.5,0.75,3.22,MIXED,16,-1,0,9,-4,0,developing trend; weak momentum,SPY BEARISH 36; QQQ BEARISH 26,946.56,926.83,727.97,1064.9
EWY,IGNORE,15,20,DEFENSIVE,30,-5,173.86,2.01,-11.86,10.93,46.0,0.81,4.17,MIXED,10,11,3,4,-8,0,volatility risk,SPY BEARISH 36; QQQ BEARISH 26,180.6,189.53,134.94,219.2
VWO,IGNORE,15,20,DEFENSIVE,30,-5,58.1,-1.21,-1.48,-1.07,44.4,0.67,1.09,MIXED,10,0,0,10,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,58.99,59.3,56.59,61.24
6861.T,IGNORE,14,19,DEFENSIVE,30,-5,73630.0,2.52,-4.5,0.61,32.4,0.7,2.27,MIXED,10,0,0,9,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,76168.5,76443.6,63869.3,84170.0
EWG,IGNORE,14,19,DEFENSIVE,30,-5,40.59,-1.74,0.1,-3.63,30.2,0.77,1.12,WEAK,4,1,0,14,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,41.36,41.94,41.89,44.56
