scan_id,saved_at,ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWU,WATCH,62,62,NEUTRAL,40,0,48.44,-0.48,2.72,4.29,71.3,0.26,0.82,TREND,32,12,0,18,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,47.09,46.71,45.51,48.68
20260731_170411,2026-07-31T17:04:11.140780+00:00,GE,WATCH,62,62,NEUTRAL,40,0,360.5,1.54,-4.51,25.75,54.5,0.32,1.99,TREND,32,16,0,14,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,354.97,345.17,315.09,378.68
20260731_170411,2026-07-31T17:04:11.140780+00:00,IBN,WATCH,62,62,NEUTRAL,40,0,30.05,-0.69,1.9,15.49,59.1,0.4,1.34,TREND,28,21,0,13,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,29.6,28.2,29.01,33.7
20260731_170411,2026-07-31T17:04:11.140780+00:00,WES.AX,WATCH,62,62,NEUTRAL,40,0,89.36,0.16,1.26,21.26,42.5,1.03,1.25,MIXED,24,13,7,18,0,0,strong trend; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,90.18,86.23,81.45,94.76
20260731_170411,2026-07-31T17:04:11.140780+00:00,XLV,WATCH,62,62,NEUTRAL,40,0,162.62,-0.55,-0.68,11.92,52.6,0.64,1.22,TREND,32,16,0,14,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,161.93,156.33,152.44,167.26
20260731_170411,2026-07-31T17:04:11.140780+00:00,8001.T,WATCH,61,61,NEUTRAL,40,0,2023.5,-0.95,9.26,1.84,72.5,1.08,1.12,TREND,28,17,7,13,0,-4,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,1932.67,1896.6,1945.13,2270.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWG,WATCH,61,61,NEUTRAL,40,0,42.81,-0.15,1.19,1.0,67.8,0.35,1.06,RECOVERING,26,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,41.61,41.95,41.89,44.56
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWQ,WATCH,61,61,NEUTRAL,40,0,46.47,-0.01,1.19,2.98,66.0,0.51,0.94,RECOVERING,26,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,45.34,45.5,45.13,48.35
20260731_170411,2026-07-31T17:04:11.140780+00:00,MDLZ,WATCH,61,61,NEUTRAL,40,0,62.19,-1.41,2.1,1.35,57.8,0.32,2.15,RECOVERING,26,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,60.54,61.03,58.63,64.99
20260731_170411,2026-07-31T17:04:11.140780+00:00,WBC.AX,WATCH,61,61,NEUTRAL,40,0,37.87,-0.73,6.11,-3.74,64.5,1.25,0.91,TREND,22,18,12,9,0,0,strong trend; healthy momentum; volume support,SPY NEUTRAL 58; QQQ BEARISH 26,36.82,36.03,38.47,42.95
20260731_170411,2026-07-31T17:04:11.140780+00:00,6861.T,WATCH,60,60,NEUTRAL,40,0,78970.0,1.78,-3.26,3.28,56.7,1.62,3.22,RECOVERING,26,12,12,14,-4,0,strong trend; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,75526.5,76509.8,64174.2,84170.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,CPG.L,WATCH,60,60,NEUTRAL,40,0,31.71,-0.72,-3.06,8.28,45.7,1.22,2.14,RECOVERING,18,16,12,14,0,0,developing trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,31.67,32.12,26.48,34.18
20260731_170411,2026-07-31T17:04:11.140780+00:00,ITUB,WATCH,59,59,NEUTRAL,40,0,8.45,0.12,4.06,-1.4,49.3,0.28,1.76,TREND,32,18,0,9,0,0,strong trend; healthy momentum,SPY NEUTRAL 58; QQQ BEARISH 26,8.35,8.07,8.01,9.57
20260731_170411,2026-07-31T17:04:11.140780+00:00,NTR.TO,WATCH,59,59,NEUTRAL,40,0,98.06,-1.04,6.68,-2.73,59.5,0.18,1.57,TREND,32,18,0,9,0,0,strong trend; healthy momentum,SPY NEUTRAL 58; QQQ BEARISH 26,95.31,93.39,92.81,114.41
20260731_170411,2026-07-31T17:04:11.140780+00:00,SBUX,WATCH,59,59,NEUTRAL,40,0,105.23,-0.59,0.92,0.28,43.0,0.73,1.43,TREND,32,9,0,18,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,104.81,102.34,94.89,108.37
20260731_170411,2026-07-31T17:04:11.140780+00:00,VOO,WATCH,59,59,NEUTRAL,40,0,685.03,0.48,0.03,2.97,47.1,0.58,0.78,MIXED,24,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,685.34,684.98,644.04,698.26
20260731_170411,2026-07-31T17:04:11.140780+00:00,6902.T,WATCH,58,58,NEUTRAL,40,0,2197.5,-0.48,17.48,15.93,86.7,1.42,1.9,TREND,28,12,12,18,0,-12,strong trend; volume support; relative strength; overextended,SPY NEUTRAL 58; QQQ BEARISH 26,1996.22,1928.09,2042.15,2315.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWL,WATCH,58,58,NEUTRAL,40,0,63.14,-1.22,-1.31,3.32,55.0,0.45,0.88,TREND,32,12,0,14,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,62.85,62.45,60.48,65.08
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWZ,WATCH,58,58,NEUTRAL,40,0,36.54,0.03,6.13,-7.98,60.1,0.96,1.51,TREND,28,18,3,9,0,0,strong trend; healthy momentum,SPY NEUTRAL 58; QQQ BEARISH 26,35.64,35.19,35.42,41.73
20260731_170411,2026-07-31T17:04:11.140780+00:00,BARC.L,WATCH,57,57,NEUTRAL,40,0,508.7,-0.43,-2.6,16.0,49.5,0.82,1.93,MIXED,24,16,3,14,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,516.39,495.56,450.73,530.4
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWD,WATCH,57,57,NEUTRAL,40,0,52.4,-0.17,3.8,2.99,72.4,0.05,1.07,RECOVERING,26,17,0,18,0,-4,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,50.54,50.83,50.4,54.72
20260731_170411,2026-07-31T17:04:11.140780+00:00,INDA,WATCH,57,57,NEUTRAL,40,0,49.83,0.25,0.53,1.35,61.1,0.54,0.91,TREND,22,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,48.91,48.72,51.0,55.29
20260731_170411,2026-07-31T17:04:11.140780+00:00,8058.T,WATCH,56,56,NEUTRAL,40,0,4777.0,-0.87,9.97,-8.47,68.0,0.91,1.86,RECOVERING,26,18,3,9,0,0,strong trend; healthy momentum,SPY NEUTRAL 58; QQQ BEARISH 26,4611.8,4712.26,4488.24,5882.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,BHP.AX,WATCH,56,56,NEUTRAL,40,0,60.31,1.96,-0.31,3.06,56.5,1.61,1.97,RECOVERING,18,12,12,14,0,0,developing trend; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,59.0,60.44,52.18,65.59
20260731_170411,2026-07-31T17:04:11.140780+00:00,KER.PA,WATCH,56,56,NEUTRAL,40,0,284.2,-2.22,14.39,15.58,67.1,1.11,4.42,RECOVERING,22,26,7,13,-8,-4,strong trend; healthy momentum; volume support; relative strength; volatility risk,SPY NEUTRAL 58; QQQ BEARISH 26,254.43,255.9,272.65,344.95
20260731_170411,2026-07-31T17:04:11.140780+00:00,CSL.AX,WATCH,55,55,NEUTRAL,40,0,123.06,-3.81,1.03,0.87,52.7,1.53,2.36,TREND,22,17,12,4,0,0,strong trend; healthy momentum; volume support,SPY NEUTRAL 58; QQQ BEARISH 26,121.96,112.36,148.0,271.32
20260731_170411,2026-07-31T17:04:11.140780+00:00,FXB,WATCH,55,55,NEUTRAL,40,0,129.56,-0.02,1.07,-0.46,60.6,0.34,0.41,TREND,28,13,0,14,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,128.74,128.52,128.82,133.09
20260731_170411,2026-07-31T17:04:11.140780+00:00,III.L,WATCH,55,55,NEUTRAL,40,0,2864.0,0.6,9.69,9.38,62.5,0.81,2.04,TREND,22,26,3,4,0,0,strong trend; healthy momentum,SPY NEUTRAL 58; QQQ BEARISH 26,2687.25,2462.14,2999.19,4459.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,REL.L,WATCH,55,55,NEUTRAL,40,0,2607.0,-2.54,11.7,4.83,57.4,1.06,2.98,TREND,22,22,7,8,-4,0,strong trend; healthy momentum; volume support,SPY NEUTRAL 58; QQQ BEARISH 26,2529.05,2475.0,2712.37,3904.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,ABBV,IGNORE,54,54,NEUTRAL,40,0,252.5,-1.91,-3.28,22.51,54.8,0.48,1.59,MIXED,24,16,0,14,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,253.91,238.1,224.7,263.3
20260731_170411,2026-07-31T17:04:11.140780+00:00,IJR,IGNORE,54,54,NEUTRAL,40,0,145.53,0.02,-0.65,5.37,52.2,0.48,0.75,MIXED,24,16,0,14,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,145.55,143.19,130.26,148.31
20260731_170411,2026-07-31T17:04:11.140780+00:00,JNJ,IGNORE,54,54,NEUTRAL,40,0,257.47,0.64,-2.12,14.15,49.7,0.33,1.72,MIXED,24,16,0,14,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,257.85,245.22,226.44,267.24
20260731_170411,2026-07-31T17:04:11.140780+00:00,PBR,IGNORE,54,54,NEUTRAL,40,0,19.31,0.99,19.86,-11.3,66.5,0.39,1.98,TREND,32,13,0,9,0,0,strong trend,SPY NEUTRAL 58; QQQ BEARISH 26,18.0,17.87,16.25,22.03
20260731_170411,2026-07-31T17:04:11.140780+00:00,TD.TO,IGNORE,54,54,NEUTRAL,40,0,168.87,0.66,-0.67,13.99,46.6,0.12,1.41,MIXED,24,16,0,14,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,170.26,165.91,138.46,175.27
20260731_170411,2026-07-31T17:04:11.140780+00:00,WFC,IGNORE,54,54,NEUTRAL,40,0,86.51,1.26,1.17,8.29,46.6,0.2,1.65,MIXED,20,21,0,13,0,0,developing trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,86.66,83.44,84.81,96.39
