scan_id,saved_at,ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
20260726_104719,2026-07-26T10:47:19.431192+00:00,EWQ,IGNORE,5,10,DEFENSIVE,30,-5,44.69,-1.82,-0.33,-1.13,36.6,0.55,0.98,WEAK,4,-4,0,10,0,0,weak momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,45.19,45.39,45.07,48.35
20260726_104719,2026-07-26T10:47:19.431192+00:00,CSL.AX,IGNORE,4,9,DEFENSIVE,30,-5,114.22,-1.32,-0.57,-8.16,24.3,0.93,1.66,MIXED,14,-4,3,-4,0,0,developing trend; weak momentum,SPY BEARISH 36; QQQ BEARISH 26,120.61,109.88,150.18,272.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,HD,IGNORE,4,9,DEFENSIVE,30,-5,324.71,-2.03,-5.29,-2.28,26.0,1.09,1.51,WEAK,6,-4,7,0,0,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,342.21,326.97,350.5,423.42
20260726_104719,2026-07-26T10:47:19.431192+00:00,IEF,IGNORE,4,9,DEFENSIVE,30,-5,92.85,-0.27,-1.98,-2.61,28.9,0.9,0.27,WEAK,0,-4,3,10,0,0,weak momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,93.87,93.98,95.68,97.99
20260726_104719,2026-07-26T10:47:19.431192+00:00,IFX.DE,IGNORE,4,9,DEFENSIVE,30,-5,64.41,-1.65,-17.74,12.74,31.2,0.56,3.78,MIXED,10,-1,0,4,-4,0,weak momentum,SPY BEARISH 36; QQQ BEARISH 26,71.24,75.39,49.67,88.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,SHY,IGNORE,4,9,DEFENSIVE,30,-5,81.77,-0.07,-0.37,-0.94,39.5,0.97,0.11,WEAK,0,-4,3,10,0,0,weak momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,81.95,82.02,82.57,83.18
20260726_104719,2026-07-26T10:47:19.431192+00:00,005930.KS,IGNORE,3,8,DEFENSIVE,30,-5,249500.0,-7.59,-30.4,13.67,34.5,0.91,5.91,MIXED,10,-1,3,4,-8,0,weak momentum; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,284800.0,304610.0,189520.5,362500.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,CRM,IGNORE,3,8,DEFENSIVE,30,-5,156.93,-3.72,2.73,-12.9,41.1,1.01,2.79,WEAK,0,5,7,0,-4,0,volume support,SPY BEARISH 36; QQQ BEARISH 26,164.65,170.33,207.0,270.25
20260726_104719,2026-07-26T10:47:19.431192+00:00,GDXJ,IGNORE,3,8,DEFENSIVE,30,-5,97.6,-2.94,1.58,-19.66,43.0,1.1,3.1,WEAK,0,5,7,0,-4,0,volume support,SPY BEARISH 36; QQQ BEARISH 26,97.74,105.67,115.16,156.19
20260726_104719,2026-07-26T10:47:19.431192+00:00,GOOG,IGNORE,3,8,DEFENSIVE,30,-5,318.34,-6.89,-7.74,-8.66,32.0,2.02,2.66,WEAK,4,-4,12,0,-4,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,351.5,363.64,322.83,399.04
